,file_name,car_code,car_name,brand,car_type,new_filename
0,00001.jpg,14,Audi TTS Coupe 2012,Audi,Coupe,00001_Audi TTS Coupe 2012.jpg
1,00002.jpg,3,Acura TL Sedan 2012,Acura,Sedan,00002_Acura TL Sedan 2012.jpg
2,00003.jpg,91,Dodge Dakota Club Cab 2007,Dodge,Cab,00003_Dodge Dakota Club Cab 2007.jpg
3,00004.jpg,134,Hyundai Sonata Hybrid Sedan 2012,Hyundai,Sedan,00004_Hyundai Sonata Hybrid Sedan 2012.jpg
4,00005.jpg,106,Ford F-450 Super Duty Crew Cab 2012,Ford,Cab,00005_Ford F-450 Super Duty Crew Cab 2012.jpg
5,00006.jpg,123,Geo Metro Convertible 1993,Geo,Convertible,00006_Geo Metro Convertible 1993.jpg
6,00007.jpg,89,Dodge Journey SUV 2012,Dodge,SUV,00007_Dodge Journey SUV 2012.jpg
7,00008.jpg,96,Dodge Charger Sedan 2012,Dodge,Sedan,00008_Dodge Charger Sedan 2012.jpg
8,00009.jpg,167,Mitsubishi Lancer Sedan 2012,Mitsubishi,Sedan,00009_Mitsubishi Lancer Sedan 2012.jpg
9,00010.jpg,58,Chevrolet Traverse SUV 2012,Chevrolet,SUV,00010_Chevrolet Traverse SUV 2012.jpg
10,00011.jpg,49,Buick Verano Sedan 2012,Buick,Sedan,00011_Buick Verano Sedan 2012.jpg
11,00012.jpg,186,Toyota Sequoia SUV 2012,Toyota,SUV,00012_Toyota Sequoia SUV 2012.jpg
12,00013.jpg,135,Hyundai Elantra Sedan 2007,Hyundai,Sedan,00013_Hyundai Elantra Sedan 2007.jpg
13,00014.jpg,85,Dodge Caravan Minivan 1997,Dodge,Minivan,00014_Dodge Caravan Minivan 1997.jpg
14,00015.jpg,193,Volvo C30 Hatchback 2012,Volvo,Hatchback,00015_Volvo C30 Hatchback 2012.jpg
15,00016.jpg,172,Plymouth Neon Coupe 1999,Plymouth,Coupe,00016_Plymouth Neon Coupe 1999.jpg
16,00017.jpg,14,Audi TTS Coupe 2012,Audi,Coupe,00017_Audi TTS Coupe 2012.jpg
